itemID,quantity,absHour,price,studGroup,tID,rating
76,1,17,30.0,F2,3,5
76,1,17,30.0,F2,3,3
107,1,17,10.0,F2,2,3
108,1,17,20.0,F3,3,3
108,1,18,20.0,F0,1,3
123,1,17,8.0,F3,1,4
123,1,17,8.0,F3,2,2
123,1,17,8.0,F2,2,3
123,1,17,8.0,F2,3,2
123,1,17,8.0,F2,1,5
123,1,17,8.0,F3,2,2
123,1,17,8.0,F2,1,1
123,1,17,8.0,F3,2,3
123,1,17,8.0,F2,2,2
123,1,17,8.0,F3,2,4
123,2,17,8.0,F4,3,3
123,2,17,8.0,F2,2,1
155,1,17,27.0,F3,1,2
156,1,17,30.0,F2,1,3
157,1,17,32.0,F1,1,4
160,2,17,25.0,F3,2,4
169,1,17,25.0,F3,2,3
169,1,17,25.0,F2,4,3
169,1,17,25.0,F2,1,5
170,2,17,20.0,F3,2,3
170,3,17,20.0,F0,1,3
2,1,17,8.0,F1,1,4
2,1,17,8.0,F3,1,2
2,1,17,8.0,F2,1,1
2,1,17,8.0,F2,2,3
2,1,17,8.0,F6,1,4
2,1,17,8.0,F1,1,1
2,1,17,8.0,F3,2,3
2,2,17,8.0,F2,1,1
2,2,17,8.0,F2,1,3
2,2,17,8.0,F3,1,4
2,2,17,8.0,F4,2,3
2,2,17,8.0,F1,1,2
2,2,17,8.0,F3,1,4
2,2,17,8.0,F3,1,4
2,2,17,8.0,F2,1,3
2,2,17,8.0,F3,1,4
2,2,17,8.0,F2,1,1
2,3,17,8.0,F4,1,3
2,3,17,8.0,F3,1,4
18,1,17,55.0,F3,1,3
22,1,17,15.0,F3,2,3
26,1,17,5.0,F0,3,4
26,1,17,5.0,F2,3,2
26,24,17,5.0,F3,1,3
46,1,17,18.0,F2,1,3
74,1,17,25.0,F3,3,3
76,1,17,30.0,F4,1,4
76,1,17,30.0,F0,1,2
76,1,17,30.0,F2,2,2
76,1,17,30.0,F2,3,3
107,2,17,10.0,F2,2,4
123,1,17,8.0,F3,1,2
123,1,17,8.0,F2,2,3
123,1,17,8.0,F3,2,3
123,1,17,8.0,F2,1,1
123,1,17,8.0,F2,1,1
123,1,17,8.0,F1,1,5
123,1,17,8.0,F6,2,3
123,1,17,8.0,F3,2,2
123,1,17,8.0,F2,2,2
123,1,17,8.0,F3,2,3
123,1,17,8.0,F2,2,3
123,2,17,8.0,F0,2,3
163,1,18,20.0,F2,1,2
168,1,17,27.0,F2,1,3
169,1,17,25.0,F3,1,4
169,1,17,25.0,F3,2,2
169,2,17,25.0,F6,3,1
169,2,17,25.0,F3,1,3
176,2,17,30.0,F3,2,3
179,1,17,23.0,F2,1,4
2,1,17,8.0,F2,1,3
2,1,17,8.0,F3,1,4
2,1,17,8.0,F2,1,2
2,1,17,8.0,F2,1,3
2,1,17,8.0,F0,1,2
2,2,17,8.0,F2,1,2
2,2,17,8.0,F4,1,2
2,2,17,8.0,F2,1,3
2,2,17,8.0,F4,1,1
2,2,17,8.0,F1,2,1
2,2,17,8.0,F4,1,2
2,2,17,8.0,F2,1,1
2,2,17,8.0,F3,1,2
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,1,5
2,2,17,8.0,F2,1,2
2,2,17,8.0,F2,1,3
2,3,17,8.0,F3,1,5
2,5,17,8.0,F0,1,2
15,2,17,35.0,F4,1,2
21,1,17,30.0,F2,1,5
21,1,17,30.0,F2,2,5
